player_name,team,position,appearances,starts,substitute_appearances,goals,assists,minutes_played,passes,pass_accuracy,key_passes,shots,shots_on_target,tackles,interceptions,dribbles,duels_won,fouls_won,yellow_cards,red_cards
Leandro Bacuna,Curaçao,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Livano Comenencia,Curaçao,Midfielder,3,3,0,1,0,,,,,,,,,,,,1,0
Riechedly Bazoer,Curaçao,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Roshon van Eijma,Curaçao,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Sherel Floranus,Curaçao,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Shurandy Sambo,Curaçao,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Sonja Hansen,Curaçao,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Tahith Chong,Curaçao,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Tijjani Noslin,Curaçao,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Trevor Doornbusch,Curaçao,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Tyrick Bodak,Curaçao,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Adam Hlozek,Czechia,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Alekandr Sojka,Czechia,Midfielder,3,2,1,0,1,,,,,,,,,,,,0,0
David Doudera,Czechia,Defender,1,1,1,0,0,,,,,,,,,,,,0,0
David Zima,Czechia,Defender,1,0,2,0,0,,,,,,,,,,,,0,0
Denis Visinsky,Czechia,Midfielder,1,1,1,0,0,,,,,,,,,,,,0,0
Hugo Sochurek,Czechia,Midfielder,0,0,2,0,0,,,,,,,,,,,,0,0
Jan Kuchta,Czechia,Forward,0,0,2,0,0,,,,,,,,,,,,0,0
Jaromir Zmrhal,Czechia,Midfielder,0,0,1,0,0,,,,,,,,,,,,0,0
Jaroslav Zeleny,Czechia,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Jindrich Stanek,Czechia,Goalkeeper,0,0,2,0,0,,,,,,,,,,,,0,0
Ladislav Krejci II,Czechia,Midfielder,3,3,0,1,0,,,,,,,,,,,,1,0
Lukas Cerv,Czechia,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Lukas Hornicek,Czechia,Goalkeeper,0,0,2,0,0,,,,,,,,,,,,0,0
Lukas Provod,Czechia,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Matej Kovar,Czechia,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Michal Sadilek,Czechia,Midfielder,3,2,1,1,0,,,,,,,,,,,,0,0
Mojmir Chytil,Czechia,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Patrik Schick,Czechia,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Pavel Sulc,Czechia,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Robin Hranac,Czechia,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Stepan CHaloupek,Czechia,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Tomas Chory,Czechia,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Tomas Holes,Czechia,Defender,2,2,0,0,0,,,,,,,,,,,,0,0
Tomas Soucek,Czechia,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Vladimir Coufal,Czechia,Defender,3,3,0,0,1,,,,,,,,,,,,0,0
Vladimir Darida,Czechia,Midfielder,1,1,1,0,0,,,,,,,,,,,,0,0
Aaron Tshibola,DR Congo,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Aaron Wan-Bissaka,DR Congo,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Arthur Masuaku,DR Congo,Defender,3,3,0,0,1,,,,,,,,,,,,0,0
Axel Tuanzebe,DR Congo,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Brian Cipenga,DR Congo,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Cedric Bakambu,DR Congo,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Chancel Mbemba,DR Congo,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Charles Pickel,DR Congo,Midfielder,2,0,3,0,0,,,,,,,,,,,,1,0
Dylan Batubinsika,DR Congo,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Edo Kayembe,DR Congo,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Fiston Mayele,DR Congo,Forward,1,0,3,1,0,,,,,,,,,,,,0,0
Gael Kakuta,DR Congo,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Gedeon Kalulu,DR Congo,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Joris Kayembe,DR Congo,Defender,3,0,3,0,0,,,,,,,,,,,,0,0
Lionel Mpasi,DR Congo,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Matthieu Epolo,DR Congo,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Meschak Elia,DR Congo,Forward,1,0,3,0,1,,,,,,,,,,,,0,0
Nathanael Mbuku,DR Congo,Midfielder,2,1,2,0,0,,,,,,,,,,,,1,0
Ngal'ayel Mukau,DR Congo,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Noah Sadiki,DR Congo,Midfielder,3,1,2,0,0,,,,,,,,,,,,1,0
Samuel Moutoussamy,DR Congo,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Simon Banza,DR Congo,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Steve Kapuadi,DR Congo,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Theo Bongonda,DR Congo,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Timothy Fayulu,DR Congo,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Yoane Wissa,DR Congo,Forward,3,3,0,3,0,,,,,,,,,,,,0,0
Alan Franco,Ecuador,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Alan Minda,Ecuador,Forward,1,1,2,0,0,,,,,,,,,,,,0,0
Angelo Preciado,Ecuador,Defender,3,0,3,0,0,,,,,,,,,,,,0,0
Anthony Valencia,Ecuador,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Denil Castillo,Ecuador,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Enner Valencia,Ecuador,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Felix Torres,Ecuador,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Gonzalo Plata,Ecuador,Midfielder,3,3,0,1,0,,,,,,,,,,,,1,0
Gonzalo Valle,Ecuador,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Hernan Galindez,Ecuador,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Jackson Porozo,Ecuador,Defender,1,0,3,0,0,,,,,,,,,,,,1,0
Jeremy Arevalo,Ecuador,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Joel Ordonez,Ecuador,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
John Yeboah Zamora,Ecuador,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Jordy Alcivar,Ecuador,Midfielder,1,1,2,0,0,,,,,,,,,,,,1,0
Jordy Caicedo,Ecuador,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Kendry Paez,Ecuador,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Kevin Rodriguez,Ecuador,Forward,3,0,3,0,1,,,,,,,,,,,,0,0
Moises Caicedo,Ecuador,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Moises Ramirez,Ecuador,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Nilson Angulo,Ecuador,Forward,3,1,2,1,0,,,,,,,,,,,,0,0
Pedro Vite,Ecuador,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Pervis Estupinan,Ecuador,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Piero Hincapie,Ecuador,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
William Pacho,Ecuador,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Yaimar Medina,Ecuador,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Ahmed Fatouh,Egypt,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Ahmed Sayed Zizo,Egypt,Midfielder,3,0,3,0,0,,,,,,,,,,,,0,0
El Mahdy Soliman,Egypt,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Eman Ashour,Egypt,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Haissem Hassan,Egypt,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Hamdi Fathi,Egypt,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Hamza Abdelkarim,Egypt,Forward,3,0,3,0,0,,,,,,,,,,,,0,0
Hossam Abdelmaguid,Egypt,Defender,1,0,2,0,0,,,,,,,,,,,,0,0
Ibrahim Adel,Egypt,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Karim Hafez,Egypt,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Mahmoud Alaa,Egypt,Defender,0,0,1,0,0,,,,,,,,,,,,0,0
Mahmoud Saber,Egypt,Midfielder,1,1,2,1,0,,,,,,,,,,,,1,0
Marwan Attia,Egypt,Midfielder,3,2,1,0,0,,,,,,,,,,,,1,0
Mohamed Abdelmonem,Egypt,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Mohamed Alaa,Egypt,Goalkeeper,0,0,2,0,0,,,,,,,,,,,,0,0
Mohamed El-Shenawy,Egypt,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Mohamed Hany,Egypt,Defender,3,3,0,0,1,,,,,,,,,,,,0,0
Mohamed Salah,Egypt,Forward,3,3,0,1,2,,,,,,,,,,,,0,0
Mohanad Lasheen,Egypt,Midfielder,3,3,0,0,0,,,,,,,,,,,,2,0
Mostafa Shobeir,Egypt,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Mostafa Ziko,Egypt,Midfielder,3,3,0,1,1,,,,,,,,,,,,0,0
Nabil Emad,Egypt,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Omar Marmoush,Egypt,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Ramy Rabia,Egypt,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Tarek Alaa,Egypt,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Trezeguet,Egypt,Midfielder,2,1,2,1,1,,,,,,,,,,,,0,0
Yasser Ibrahim,Egypt,Defender,3,2,1,0,0,,,,,,,,,,,,1,0
Anthony Gordon,England,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Bukayo Saka,England,Midfielder,3,1,2,0,2,,,,,,,,,,,,0,0
Dan Burn,England,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Dean Henderson,England,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Declan Rice,England,Midfielder,2,2,1,0,1,,,,,,,,,,,,1,0
Djed Spence,England,Defender,3,1,2,0,0,,,,,,,,,,,,0,0
Eberechi Eze,England,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Elliot Anderson,England,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Ezri Konsa,England,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Harry Kane,England,Forward,3,3,0,3,0,,,,,,,,,,,,0,0
Ivan Toney,England,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
James Trafford,England,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Jarell Quansah,England,Defender,1,1,2,0,0,,,,,,,,,,,,1,0
John Stones,England,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Jordan Henderson,England,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Jordan Pickford,England,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Jude Bellingham,England,Midfielder,3,3,0,2,1,,,,,,,,,,,,0,0
Kobbie Mainoo,England,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Marc Guehi,England,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Marcus Rashford,England,Forward,3,1,2,1,0,,,,,,,,,,,,0,0
Morgan Rogers,England,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Nico O'Reilly,England,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Noni Madueke,England,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Ollie Watkins,England,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Reece James,England,Defender,2,2,0,0,0,,,,,,,,,,,,0,0
Trevoh Chalobah,England,Defender,0,0,2,0,0,,,,,,,,,,,,0,0
Adrien Rabiot,France,Midfielder,2,2,1,0,1,,,,,,,,,,,,0,0
Aurelien Tchouameni,France,Midfielder,2,2,1,0,1,,,,,,,,,,,,1,0
Bradley Barcola,France,Forward,3,1,2,1,1,,,,,,,,,,,,0,0
Brice Samba,France,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Dayot Upamecano,France,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Desire Doue,France,Forward,3,2,1,1,0,,,,,,,,,,,,0,0
Ibrahima Konate,France,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Jean Philippe Mateta,France,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Jules Kounde,France,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Kouadio Kone,France,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Kylian Mbappe,France,Forward,3,3,0,4,2,,,,,,,,,,,,0,0
Lucas Digne,France,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Lucas Hernandez,France,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Maghnes Akilouche,France,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Malo Gusto,France,Defender,2,0,3,0,0,,,,,,,,,,,,0,0
Marcus Thuram,France,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Mathis Rayan Cherki,France,Midfielder,3,0,3,0,0,,,,,,,,,,,,0,0
Maxence Lacroix,France,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Michael Olise,France,Midfielder,3,3,0,0,3,,,,,,,,,,,,0,0
Mike Maignan,France,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
N'Golo Kante,France,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Ousmane Dembele,France,Midfielder,3,3,0,4,1,,,,,,,,,,,,0,0
Robin Risser,France,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Theo Hernandez,France,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Warren Zaire-Emery,France,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
William Saliba,France,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Aleksandar Pavlovic,Germany,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Alexander Nubel,Germany,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Angelo Stiller,Germany,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Antonio Rudiger,Germany,Defender,3,1,2,0,0,,,,,,,,,,,,0,0
David Raum,Germany,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Deniz Undav,Germany,Forward,3,0,3,3,2,,,,,,,,,,,,0,0
Felix Nmecha,Germany,Midfielder,3,3,0,1,1,,,,,,,,,,,,0,0
Florian Wirtz,Germany,Midfielder,3,3,0,0,2,,,,,,,,,,,,0,0
Forzan Ouedraogo,Germany,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Jamal Musiala,Germany,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Jamie Leweling,Germany,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Jonathan Tah,Germany,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Joshua Kimmich,Germany,Midfielder,3,3,0,0,2,,,,,,,,,,,,0,0
Kai Havertz,Germany,Midfielder,3,3,0,2,0,,,,,,,,,,,,0,0
Leon Goretzka,Germany,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Leroy Sane,Germany,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Malick Thiaw,Germany,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Manuel Neuer,Germany,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Maximilian Beier,Germany,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Nadiem Amiri,Germany,Midfielder,1,0,3,0,1,,,,,,,,,,,,0,0
Nathaniel Brown,Germany,Defender,2,2,0,1,1,,,,,,,,,,,,0,0
Nick Woltemade,Germany,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Nico Schlotterbeck,Germany,Defender,2,2,0,1,0,,,,,,,,,,,,0,0
Oliver Baumann,Germany,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Pascal Gross,Germany,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Waldemar Anton,Germany,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Abdul Fatawu,Ghana,Midfielder,3,0,3,0,0,,,,,,,,,,,,0,0
Abdul Mumin,Ghana,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Abdul-Rahman Baba,Ghana,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Alidu Seidu,Ghana,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Antoine Semenyo,Ghana,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Augustine Boakye,Ghana,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Benjamin Asare,Ghana,Goalkeeper,3,2,1,0,0,,,,,,,,,,,,0,0
Brandon Thomas-Asante,Ghana,Forward,2,0,3,0,1,,,,,,,,,,,,0,0
Caleb Yirenkyi,Ghana,Midfielder,3,2,1,1,0,,,,,,,,,,,,1,0
Christophe Bonsu Baah,Ghana,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Derrick Luckassen,Ghana,Defender,1,1,2,1,0,,,,,,,,,,,,0,0
Elisha Owusu,Ghana,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Ernest Nuamah,Ghana,Forward,2,1,2,0,1,,,,,,,,,,,,0,0
Gideon Mensah,Ghana,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Inaki Williams,Ghana,Forward,1,1,2,0,0,,,,,,,,,,,,1,0
Jerome Opoku,Ghana,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Jonas Adjei Adjetey,Ghana,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Jordan Ayew,Ghana,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Joseph Anang,Ghana,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Kamaldeen Sulemana,Ghana,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Kojo Peprah Oppong,Ghana,Defender,2,0,3,0,0,,,,,,,,,,,,1,0
Kwasi Sibo,Ghana,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Lawrence Ati-Zigi,Ghana,Goalkeeper,1,1,2,0,0,,,,,,,,,,,,0,0
Marvin Senaya,Ghana,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Prince Kwabena Adu,Ghana,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Thomas Partey,Ghana,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Alexandre Pierre,Haiti,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Carl Sainte,Haiti,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Carlens Arcus,Haiti,Defender,3,2,1,0,0,,,,,,,,,,,,1,0
Derrick Etienne,Haiti,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Dominique Simon,Haiti,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Duckens Nazon,Haiti,Forward,1,0,3,0,0,,,,,,,,,,,,1,0
Duke Lacroix,Haiti,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Frantzdy Pierrot,Haiti,Forward,3,2,1,0,0,,,,,,,,,,,,1,0
Garven Matusala,Haiti,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Hannes Delcroix,Haiti,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Jean Jacques Danley,Haiti,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Jean Ricner Bellegarde,Haiti,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Jean-Kevin Duverne,Haiti,Defender,2,2,1,0,1,,,,,,,,,,,,0,0
Johny Placide,Haiti,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,1,0
Josue Casimir,Haiti,Forward,3,2,1,0,0,,,,,,,,,,,,1,0
Josue Duverger,Haiti,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Keeto Thermoncy,Haiti,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Lenny Joseph,Haiti,Forward,3,1,2,0,0,,,,,,,,,,,,0,0
Lucicius Deedson,Haiti,Forward,3,1,2,0,0,,,,,,,,,,,,0,0
Martin Experience,Haiti,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Ricardo Ade,Haiti,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Ruben Providence,Haiti,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Wilguens Paugain,Haiti,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Wilson Isidor,Haiti,Forward,3,2,1,1,0,,,,,,,,,,,,0,0
Woodensky Pierre,Haiti,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Yassin Fortune,Haiti,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Ali Alipour,Iran,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Ali Nemati,Iran,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Alireza Beiranvand,Iran,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Alireza Jahanbakhsh,Iran,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Amirhossein Hosseinzadeh,Iran,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Amirmohammad Razzaghinia,Iran,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Aria Yousefi,Iran,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Danial Eirl,Iran,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Dennis Eckert,Iran,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Ehsan Hajsafi,Iran,Midfielder,2,1,2,0,0,,,,,,,,,,,,1,0
Hossein Hosseini,Iran,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Hossein Kanaani,Iran,Defender,2,2,1,0,0,,,,,,,,,,,,1,0
Mehdi Ghayedi,Iran,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Mehdi Taremi,Iran,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Mehdi Torabi,Iran,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Milad Mohammadi,Iran,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Mohammad Ghorbani,Iran,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Mohammad Mohebi,Iran,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Payam Niazmand,Iran,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Ramin Rezaeian,Iran,Defender,3,3,0,2,1,,,,,,,,,,,,0,0
Rouzbeh Cheshmi,Iran,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Saeid Ezatolahi,Iran,Midfielder,3,3,0,0,0,,,,,,,,,,,,2,0
Saleh Hardani,Iran,Defender,2,1,2,0,0,,,,,,,,,,,,0,0
Saman Ghoddos,Iran,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Shahriyar Moghanlou,Iran,Forward,3,1,2,0,0,,,,,,,,,,,,0,0
Shoja Khalilzadeh,Iran,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Ahmed Basil,Iraq,Goalkeeper,2,2,1,0,0,,,,,,,,,,,,0,0
Ahmed Maknzi,Iraq,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Ahmed Qasem,Iraq,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Aimar Sher,Iraq,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Akam Hashim,Iraq,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Ali Al-Hamadi,Iraq,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Ali Jasim,Iraq,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Ali Yousif,Iraq,Forward,1,0,2,0,0,,,,,,,,,,,,0,0
Amir Al-Ammari,Iraq,Midfielder,3,3,0,0,1,,,,,,,,,,,,2,0
Aymen Hussein,Iraq,Forward,2,2,1,1,0,,,,,,,,,,,,0,0
Fahad Talib,Iraq,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Frans Putros,Iraq,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Hussein Ali,Iraq,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Ibrahim Bayesh,Iraq,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Jalal Hassan,Iraq,Goalkeeper,2,1,2,0,0,,,,,,,,,,,,0,0
Karrar Jasim,Iraq,Midfielder,0,0,1,0,0,,,,,,,,,,,,0,0
Kevin Yakob,Iraq,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Manaf Younis,Iraq,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Marko Farji,Iraq,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Merchas Doski,Iraq,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Mohanad Ali,Iraq,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Mustafa Saadoon,Iraq,Defender,1,0,3,0,0,,,,,,,,,,,,0,0
Rebin Sulaka,Iraq,Defender,2,1,2,0,0,,,,,,,,,,,,0,1
Youssef Amyn,Iraq,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Zaid Ismail,Iraq,Midfielder,2,2,1,0,0,,,,,,,,,,,,0,0
Zaid Tahseen,Iraq,Defender,2,2,1,0,0,,,,,,,,,,,,1,0
Zidane Iqbal,Iraq,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Alban Lafont,Ivory Coast,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Amad Diallo,Ivory Coast,Forward,3,2,1,1,0,,,,,,,,,,,,0,0
Ange Yohan Bonny,Ivory Coast,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Bazoumana Toure,Ivory Coast,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Christ Inao Oulai,Ivory Coast,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Christopher Operi,Ivory Coast,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Elye Wahi,Ivory Coast,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Emmanuel Agbadou,Ivory Coast,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Evan Ndicka,Ivory Coast,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Evann Guessand,Ivory Coast,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Franck Kessie,Ivory Coast,Defender,3,3,0,1,0,,,,,,,,,,,,1,0
Ghislain Konan,Ivory Coast,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Guela Doue,Ivory Coast,Defender,3,2,1,0,0,,,,,,,,,,,,1,0
Ibrahim Sangare,Ivory Coast,Midfielder,3,2,1,0,1,,,,,,,,,,,,0,0
