date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,h2h_home_win_rate,h2h_avg_goal_diff
1922-10-05,Chile,Paraguay,True,Copa América,0.0,0.2,0.4,2.8,0.25,0.25,0.75,2.0,-251,1500,1751,away_win,0.5,0.0
1922-10-08,Argentina,Uruguay,True,Copa América,0.6,0.2,2.0,0.9,0.4,0.3,1.6,0.9,-29,1961,1990,away_win,0.2,-0.2
1922-10-12,Paraguay,Uruguay,True,Copa América,0.4,0.2,1.2,1.6,0.5,0.2,1.5,0.7,-239,1751,1990,home_win,0.5,0.0
1922-10-15,Brazil,Argentina,False,Copa América,0.3,0.3,0.8,1.3,0.6,0.2,1.8,0.7,-122,1839,1961,home_win,0.2,-0.6
1922-10-18,Argentina,Paraguay,True,Copa América,0.6,0.2,1.7,0.6,0.5,0.1666666666666666,1.1666666666666667,1.3333333333333333,210,1961,1751,home_win,0.5,0.0
1922-11-06,Brazil,Paraguay,False,Copa América,0.3,0.3,0.9,1.3,0.4285714285714285,0.1428571428571428,1.0,1.4285714285714286,88,1839,1751,home_win,0.5,0.0
1923-10-29,Argentina,Paraguay,True,Copa América,0.6,0.2,1.5,0.5,0.375,0.125,0.875,1.625,140,1891,1751,home_win,0.5,0.0
1923-11-04,Uruguay,Paraguay,False,Copa América,0.5,0.2,1.5,0.7,0.3333333333333333,0.1111111111111111,1.1111111111111112,1.8888888888888888,245,1996,1751,home_win,0.5,0.0
1923-11-11,Brazil,Paraguay,True,Copa América,0.3,0.3,1.1,1.3,0.3,0.1,1.0,1.9,148,1899,1751,away_win,0.6666666666666666,2.0
1923-11-18,Argentina,Brazil,True,Copa América,0.7,0.1,1.8,0.7,0.3,0.3,1.1,0.8,-8,1891,1899,home_win,0.5,0.16666666666666666
1923-11-25,Uruguay,Brazil,False,Copa América,0.6,0.1,1.6,0.6,0.3,0.3,1.2,0.8,97,1996,1899,home_win,0.5714285714285714,1.5714285714285714
1923-12-02,Uruguay,Argentina,False,Copa América,0.6,0.1,1.2,0.7,0.8,0.0,1.9,0.7,105,1996,1891,home_win,0.5,0.3333333333333333
1924-10-12,Argentina,Paraguay,True,Copa América,0.7,0.0,1.7,0.9,0.3,0.1,0.9,1.8,136,1903,1767,draw,1.0,2.0
1924-10-19,Uruguay,Chile,False,Copa América,0.6,0.1,1.2,0.6,0.0,0.2,0.4,2.6,499,1999,1500,home_win,1.0,2.6
1924-10-25,Argentina,Chile,True,Copa América,0.6,0.1,1.6,0.9,0.0,0.2,0.4,2.5,403,1903,1500,home_win,0.8,2.6
1924-10-26,Uruguay,Paraguay,False,Copa América,0.7,0.1,1.6,0.4,0.3,0.2,0.9,1.5,232,1999,1767,home_win,0.3333333333333333,0.0
1924-11-01,Chile,Paraguay,True,Copa América,0.0,0.2,0.4,2.5,0.3,0.2,1.0,1.5,-267,1500,1767,away_win,0.5,0.0
1924-11-02,Uruguay,Argentina,False,Copa América,0.7,0.1,1.7,0.4,0.6,0.1,1.5,0.9,96,1999,1903,draw,0.5714285714285714,0.5714285714285714
1925-11-29,Argentina,Paraguay,False,Copa América,0.5,0.2,1.4,0.9,0.4,0.1,1.2,1.5,177,1954,1777,home_win,0.75,1.5
1925-12-06,Brazil,Paraguay,True,Copa América,0.3,0.3,1.3,0.9,0.3,0.1,0.9,1.7,92,1869,1777,home_win,0.5,1.25
1925-12-13,Argentina,Brazil,False,Copa América,0.5,0.2,1.2,0.9,0.3,0.3,1.5,1.1,85,1954,1869,home_win,0.5714285714285714,0.2857142857142857
1925-12-17,Brazil,Paraguay,True,Copa América,0.3,0.3,1.5,1.3,0.2,0.1,1.0,2.2,92,1869,1777,home_win,0.6,1.6
1925-12-20,Argentina,Paraguay,False,Copa América,0.6,0.2,1.6,0.9,0.2,0.1,1.1,2.3,177,1954,1777,home_win,0.8,1.6
1925-12-25,Argentina,Brazil,False,Copa América,0.7,0.2,1.9,0.8,0.4,0.2,1.7,1.3,85,1954,1869,draw,0.625,0.625
1926-10-12,Chile,Bolivia,False,Copa América,0.0,0.2,0.4,2.4,0.5,0.22,1.5,1.5,0,1500,1500,home_win,0.5,0.0
1926-10-16,Argentina,Bolivia,True,Copa América,0.6,0.3,1.9,1.0,0.0,0.0,1.0,7.0,489,1989,1500,home_win,0.5,0.0
1926-10-17,Chile,Uruguay,False,Copa América,0.1,0.2,1.1,2.4,0.7,0.2,1.7,0.3,-466,1500,1966,away_win,0.0,-3.0
1926-10-20,Argentina,Paraguay,True,Copa América,0.6,0.3,2.0,0.7,0.2,0.1,1.2,2.3,235,1989,1754,home_win,0.8333333333333334,1.6666666666666667
1926-10-23,Bolivia,Paraguay,True,Copa América,0.0,0.0,0.5,6.0,0.2,0.1,0.9,2.7,-254,1500,1754,away_win,0.5,0.0
1926-10-24,Argentina,Uruguay,True,Copa América,0.6,0.3,2.6,0.6,0.7,0.2,1.8,0.4,23,1989,1966,away_win,0.125,-0.5
