date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,home_qa_form,away_qa_form
1916-07-02,Chile,Uruguay,True,Copa América,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-413,1500,1913,away_win,0.489,0.489
1916-07-06,Argentina,Chile,False,Copa América,0.5,0.22,1.5,1.5,0.0,0.0,0.0,4.0,440,1940,1500,home_win,0.489,0.489
1916-07-08,Brazil,Chile,True,Copa América,0.5,0.22,1.5,1.5,0.0,0.0,0.5,5.0,410,1910,1500,draw,0.489,0.489
1916-07-10,Argentina,Brazil,False,Copa América,1.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,30,1940,1910,draw,0.489,0.489
1916-07-12,Brazil,Uruguay,True,Copa América,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,-3,1910,1913,away_win,0.489,0.489
1916-07-17,Argentina,Uruguay,False,Copa América,0.5,0.5,3.5,1.0,1.0,0.0,3.0,0.5,27,1940,1913,draw,0.489,0.489
1917-09-30,Uruguay,Chile,False,Copa América,0.6666666666666666,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,3.6666666666666665,390,1890,1500,home_win,0.9095439820583104,0.19831381343965446
1917-10-03,Argentina,Brazil,True,Copa América,0.3333333333333333,0.6666666666666666,2.333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,1.3333333333333333,82,1970,1888,home_win,0.7084267796328598,0.35717252263477034
1917-10-06,Argentina,Chile,True,Copa América,0.5,0.5,2.75,1.0,0.0,0.25,0.5,3.75,470,1970,1500,home_win,0.8253644405681535,0.14873536007974084
1917-10-07,Uruguay,Brazil,False,Copa América,0.75,0.25,2.5,0.25,0.0,0.5,1.25,2.0,2,1890,1888,home_win,0.9157737353600797,0.26787939197607774
1917-10-12,Brazil,Chile,True,Copa América,0.0,0.4,1.0,2.4,0.0,0.2,0.4,3.2,388,1888,1500,home_win,0.2143035135808622,0.11898828806379266
1917-10-14,Uruguay,Argentina,False,Copa América,0.8,0.2,2.8,0.2,0.6,0.4,2.4,0.8,-80,1890,1970,home_win,0.9678544729628706,0.8471841515076003
1919-05-11,Brazil,Chile,False,Copa América,0.1666666666666666,0.3333333333333333,1.6666666666666667,2.0,0.0,0.1666666666666666,0.3333333333333333,3.5,331,1831,1500,home_win,0.33433009386161644,0.09915690671982723
1919-05-13,Argentina,Uruguay,True,Copa América,0.5,0.3333333333333333,2.0,0.8333333333333334,0.8333333333333334,0.1666666666666666,2.5,0.1666666666666666,53,1986,1933,away_win,0.7059867929230003,1.0110889608771492
