match_id,utc_date,status,matchday,stage,group,last_updated,home_team_id,home_team,home_team_short,home_team_tla,home_team_crest,away_team_id,away_team,away_team_short,away_team_tla,away_team_crest,winner,duration,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time
537355,2026-06-25 20:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_E,2026-06-20 15:20:13+00:00,791.0,Ecuador,Ecuador,ECU,https://crests.football-data.org/791.svg,759.0,Germany,Germany,GER,https://crests.football-data.org/759.svg,,REGULAR,,,,
537356,2026-06-25 20:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_E,2026-06-20 15:20:13+00:00,9460.0,Curaçao,Curaçao,CUW,https://crests.football-data.org/curacao.svg,1935.0,Ivory Coast,Ivory Coast,CIV,https://crests.football-data.org/787.svg,,REGULAR,,,,
537361,2026-06-25 23:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_F,2026-06-20 15:20:13+00:00,802.0,Tunisia,Tunisia,TUN,https://crests.football-data.org/tunisia.svg,8601.0,Netherlands,Netherlands,NED,https://crests.football-data.org/8601.svg,,REGULAR,,,,
537362,2026-06-25 23:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_F,2026-06-20 15:20:13+00:00,766.0,Japan,Japan,JPN,https://crests.football-data.org/766.svg,792.0,Sweden,Sweden,SWE,https://crests.football-data.org/792.svg,,REGULAR,,,,
537349,2026-06-26 02:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_D,2026-06-20 15:20:13+00:00,803.0,Turkey,Turkey,TUR,https://crests.football-data.org/803.svg,771.0,United States,USA,USA,https://crests.football-data.org/usa.svg,,REGULAR,,,,
537350,2026-06-26 02:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_D,2026-06-20 15:20:13+00:00,761.0,Paraguay,Paraguay,PAR,https://crests.football-data.org/761.svg,779.0,Australia,Australia,AUS,https://crests.football-data.org/779.svg,,REGULAR,,,,
537395,2026-06-26 19:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_I,2026-06-20 15:20:13+00:00,8872.0,Norway,Norway,NOR,https://crests.football-data.org/813.svg,773.0,France,France,FRA,https://crests.football-data.org/773.svg,,REGULAR,,,,
537396,2026-06-26 19:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_I,2026-06-20 15:20:13+00:00,804.0,Senegal,Senegal,SEN,https://crests.football-data.org/senegal.svg,8062.0,Iraq,Iraq,IRQ,https://crests.football-data.org/iraq.svg,,REGULAR,,,,
537373,2026-06-27 00:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_H,2026-06-20 15:20:13+00:00,758.0,Uruguay,Uruguay,URU,https://crests.football-data.org/758.svg,760.0,Spain,Spain,ESP,https://crests.football-data.org/760.svg,,REGULAR,,,,
537374,2026-06-27 00:00:00+00:00,TIMED,3.0,GROUP_STAGE,GROUP_H,2026-06-20 15:20:13+00:00,1930.0,Cape Verde Islands,Cape Verde,CPV,https://crests.football-data.org/cape_verde.svg,801.0,Saudi Arabia,Saudi Arabia,KSA,https://crests.football-data.org/saudi_arabia.svg,,REGULAR,,,,
