player_name,team,position,age,nationality,club,photo_url
Benjamin Tahirovic,Bosnia and Herzegovina,Midfielder,,,,
Dennis Hadzikadunic,Bosnia and Herzegovina,Defender,,,,
Dzenis Burnic,Bosnia and Herzegovina,Midfielder,,,,
Edin Dzeko,Bosnia and Herzegovina,Forward,,,,
Ermedin Demirovic,Bosnia and Herzegovina,Forward,,,,
Ermin Mahmic,Bosnia and Herzegovina,Midfielder,,,,
Esmir Bajraktarevic,Bosnia and Herzegovina,Forward,,,,
Haris Tabakovic,Bosnia and Herzegovina,Forward,,,,
Ivan Basic,Bosnia and Herzegovina,Midfielder,,,,
Ivan Sunjic,Bosnia and Herzegovina,Midfielder,,,,
Jovo Lukic,Bosnia and Herzegovina,Forward,,,,
Kerim-Sam Alajbegovic,Bosnia and Herzegovina,Midfielder,,,,
Martin Zlomislic,Bosnia and Herzegovina,Goalkeeper,,,,
Mladen Jurkas,Bosnia and Herzegovina,Goalkeeper,,,,
Nihad Mujakic,Bosnia and Herzegovina,Defender,,,,
Nikola Katic,Bosnia and Herzegovina,Defender,,,,
Nikola Vasilj,Bosnia and Herzegovina,Goalkeeper,,,,
Samed Bazdar,Bosnia and Herzegovina,Forward,,,,
Sead Kolasinac,Bosnia and Herzegovina,Midfielder,,,,
Stjepan Radeljic,Bosnia and Herzegovina,Defender,,,,
Tarik Muharemovic,Bosnia and Herzegovina,Defender,,,,
Alex Sandro,Brazil,Defender,,,,
Alisson,Brazil,Goalkeeper,,,,
Bremer,Brazil,Defender,,,,
Bruno Guimaraes,Brazil,Midfielder,,,,
Casemiro,Brazil,Midfielder,,,,
Danilo,Brazil,Defender,,,,
Danilo Santos,Brazil,Midfielder,,,,
Douglas Santos,Brazil,Defender,,,,
Ederson,Brazil,Goalkeeper,,,,
Ederson Silva,Brazil,Midfielder,,,,
Endrick,Brazil,Forward,,,,
Fabinho,Brazil,Defender,,,,
Gabriel Magalhaes,Brazil,Defender,,,,
Gabriel Martinelli,Brazil,Forward,,,,
Igor Thiago,Brazil,Forward,,,,
Leo Pereira,Brazil,Defender,,,,
Lucas Paqueta,Brazil,Midfielder,,,,
Luiz Henrique,Brazil,Midfielder,,,,
Marquinhos,Brazil,Defender,,,,
Matheus Cunha,Brazil,Forward,,,,
Neymar,Brazil,Forward,,,,
Raphinha,Brazil,Midfielder,,,,
Rayan Rocha,Brazil,Forward,,,,
Roger Ibanez,Brazil,Defender,,,,
Vinicius Junior,Brazil,Forward,,,,
Weverton,Brazil,Goalkeeper,,,,
Alfie Jones,Canada,Defender,,,,
Ali Ahmed,Canada,Defender,,,,
Alistair Johnston,Canada,Defender,,,,
Alphonso Davies,Canada,Midfielder,,,,
Cyle Larin,Canada,Forward,,,,
Dayne St Clair,Canada,Goalkeeper,,,,
Derek Cornelius,Canada,Defender,,,,
Ismael Kone,Canada,Midfielder,,,,
Jacob Shaffelburg,Canada,Forward,,,,
Jayden Nelson,Canada,Forward,,,,
Joel Waterman,Canada,Midfielder,,,,
Jonathan David,Canada,Forward,,,,
Jonathan Osorio,Canada,Midfielder,,,,
Liam Millar,Canada,Forward,,,,
Luc de Fourgerolles,Canada,Defender,,,,
Mathieu Choinere,Canada,Midfielder,,,,
Maxime Crepeau,Canada,Goalkeeper,,,,
Moise Bombito,Canada,Defender,,,,
Nathan Saliba,Canada,Midfielder,,,,
Niko Sigur,Canada,Defender,,,,
Owen Goodman,Canada,Goalkeeper,,,,
Promise David Akinpelu,Canada,Forward,,,,
Richie Laryea,Canada,Midfielder,,,,
Stephen Eustaquio,Canada,Midfielder,,,,
Tajon Buchanan,Canada,Forward,,,,
Tani Oluwaseyi,Canada,Midfielder,,,,
Benchimol,Cape Verde,Forward,,,,
CJ dos Santos,Cape Verde,Goalkeeper,,,,
Dailon Livramento,Cape Verde,Forward,,,,
Deroy Duarte,Cape Verde,Midfielder,,,,
Diney,Cape Verde,Defender,,,,
Garry Rodrigues,Cape Verde,Midfielder,,,,
Helio Varela,Cape Verde,Midfielder,,,,
Jamiro Monteiro,Cape Verde,Midfielder,,,,
Joao Paulo,Cape Verde,Midfielder,,,,
Josimar Vozinha,Cape Verde,Goalkeeper,,,,
Jovane Cabral,Cape Verde,Midfielder,,,,
Kelvin Pires,Cape Verde,Defender,,,,
Kevin Pina,Cape Verde,Midfielder,,,,
