player_name,team,position,age,nationality,club,photo_url
Jalal Hassan,Iraq,Goalkeeper,,,,
Karrar Jasim,Iraq,Midfielder,,,,
Kevin Yakob,Iraq,Midfielder,,,,
Manaf Younis,Iraq,Defender,,,,
Marko Farji,Iraq,Midfielder,,,,
Merchas Doski,Iraq,Defender,,,,
Mohanad Ali,Iraq,Forward,,,,
Mustafa Saadoon,Iraq,Defender,,,,
Rebin Sulaka,Iraq,Defender,,,,
Youssef Amyn,Iraq,Midfielder,,,,
Zaid Ismail,Iraq,Midfielder,,,,
Zaid Tahseen,Iraq,Defender,,,,
Zidane Iqbal,Iraq,Midfielder,,,,
Alban Lafont,Ivory Coast,Goalkeeper,,,,
Amad Diallo,Ivory Coast,Forward,,,,
Ange Yohan Bonny,Ivory Coast,Forward,,,,
Bazoumana Toure,Ivory Coast,Forward,,,,
Christ Inao Oulai,Ivory Coast,Midfielder,,,,
Christopher Operi,Ivory Coast,Defender,,,,
Elye Wahi,Ivory Coast,Forward,,,,
Emmanuel Agbadou,Ivory Coast,Defender,,,,
Evan Ndicka,Ivory Coast,Defender,,,,
Evann Guessand,Ivory Coast,Forward,,,,
Franck Kessie,Ivory Coast,Defender,,,,
Ghislain Konan,Ivory Coast,Defender,,,,
Guela Doue,Ivory Coast,Defender,,,,
Ibrahim Sangare,Ivory Coast,Midfielder,,,,
Jean Michael Seri,Ivory Coast,Midfielder,,,,
Mohamed Kone,Ivory Coast,Goalkeeper,,,,
Nicolas Pepe,Ivory Coast,Forward,,,,
Odilon Kossounou,Ivory Coast,Defender,,,,
Oumar Diakite,Ivory Coast,Forward,,,,
Ousmane Diomande,Ivory Coast,Defender,,,,
Parfait Guiagon,Ivory Coast,Midfielder,,,,
Seko Fofana,Ivory Coast,Midfielder,,,,
Simon Adingra,Ivory Coast,Forward,,,,
Wilfried Singo,Ivory Coast,Defender,,,,
Yahia Fofana,Ivory Coast,Goalkeeper,,,,
Yan Diomande,Ivory Coast,Forward,,,,
Ao Tanaka,Japan,Midfielder,,,,
Ayase Ueda,Japan,Forward,,,,
Ayumu Seko,Japan,Defender,,,,
Daichi Kamada,Japan,Midfielder,,,,
Daizen Maeda,Japan,Forward,,,,
Hiroki Ito,Japan,Midfielder,,,,
Junnosuke Suzuki,Japan,Defender,,,,
Junya Ito,Japan,Midfielder,,,,
Kaishu Sano,Japan,Midfielder,,,,
Keisuke Goto,Japan,Forward,,,,
Keisuke Osako,Japan,Goalkeeper,,,,
Keito Nakamura,Japan,Midfielder,,,,
Kento Shiogai,Japan,Forward,,,,
Ko Itakura,Japan,Defender,,,,
Koki Ogawa,Japan,Forward,,,,
Ritsu Doan,Japan,Midfielder,,,,
Shogo Taniguchi,Japan,Defender,,,,
Shuto Machino,Japan,Forward,,,,
Takefusa Kubo,Japan,Midfielder,,,,
Takehiro Tomiyasu,Japan,Defender,,,,
Tomoki Hayakawa,Japan,Goalkeeper,,,,
Tsuyoshi Watanabe,Japan,Defender,,,,
Yuito Suzuki,Japan,Forward,,,,
Yukinari Sugawara,Japan,Defender,,,,
Yuto Nagatomo,Japan,Defender,,,,
Zion Suzuki,Japan,Goalkeeper,,,,
Abdallah Al-Fakhouri,Jordan,Goalkeeper,,,,
Abdullah Nasib,Jordan,Defender,,,,
Ali Azaizeh,Jordan,Forward,,,,
Ali Olwan,Jordan,Forward,,,,
Amer Jamous,Jordan,Midfielder,,,,
Anas Badawi,Jordan,Defender,,,,
Husam Abu Dahab,Jordan,Defender,,,,
Ibrahim Sa'deh,Jordan,Midfielder,,,,
Ihsan Haddad,Jordan,Defender,,,,
Mahmoud Al-Mardi,Jordan,Forward,,,,
Mohammad Abu Hashish,Jordan,Midfielder,,,,
Mohammad Abu Zrayq,Jordan,Forward,,,,
Mohammad Abualnadi,Jordan,Defender,,,,
Mohammad Al-Dawoud,Jordan,Midfielder,,,,
Mohammad Taha,Jordan,Defender,,,,
Mohannad Abu Taha,Jordan,Midfielder,,,,
Musa Al-Taamari,Jordan,Forward,,,,
Nizar Al-Rashdan,Jordan,Midfielder,,,,
Noor Al-Rawabdeh,Jordan,Midfielder,,,,
Nour Bani Attiah,Jordan,Goalkeeper,,,,
Odeh Al-Fakhouri,Jordan,Forward,,,,
Rajaei Ayed,Jordan,Midfielder,,,,
Saed Al-Rosan,Jordan,Defender,,,,
Salim Obaid,Jordan,Defender,,,,
Shareef Adnan,Jordan,Defender,,,,
Yazan Al-Arab,Jordan,Defender,,,,
Yazeed Abulaila,Jordan,Goalkeeper,,,,
Alexis Vega,Mexico,Forward,,,,
Alvaro Fidalgo,Mexico,Midfielder,,,,
Armando Gonzalez,Mexico,Forward,,,,
Brian Gutierrez,Mexico,Midfielder,,,,
Carlos Acevedo,Mexico,Goalkeeper,,,,
Cesar Huerta,Mexico,Forward,,,,
Cesar Montes,Mexico,Defender,,,,
Edson Alvarez,Mexico,Defender,,,,
Erik Lira,Mexico,Midfielder,,,,
Gilberto Mora,Mexico,Midfielder,,,,
Guillermo Martinez,Mexico,Forward,,,,
Guillermo Ochoa,Mexico,Goalkeeper,,,,
Israel Reyes,Mexico,Defender,,,,
Jesus Gallardo,Mexico,Forward,,,,
Johan Vasquez,Mexico,Defender,,,,
Jorge Sanchez,Mexico,Defender,,,,
Julian Quinones,Mexico,Forward,,,,
Luis Chavez,Mexico,Midfielder,,,,
Luis Romo,Mexico,Defender,,,,
Mateo Chavez,Mexico,Defender,,,,
Obed Vargas,Mexico,Midfielder,,,,
Orbelin Pineda,Mexico,Midfielder,,,,
Raul Jimenez,Mexico,Forward,,,,
Raul Rangel,Mexico,Goalkeeper,,,,
Roberto Alvarado,Mexico,Forward,,,,
Santiago Gimenez,Mexico,Forward,,,,
Achraf Hakimi,Morocco,Defender,,,,
Ahmed Reda Tagnaouti,Morocco,Goalkeeper,,,,
Amine Sbai,Morocco,Forward,,,,
Anass Salah-Eddine,Morocco,Defender,,,,
Ayoub El Kaabi,Morocco,Forward,,,,
Ayoub El Khaliqi,Morocco,Defender,,,,
Ayoube Amaimouni,Morocco,Forward,,,,
Ayyoub Bouaddi,Morocco,Midfielder,,,,
Azzeddine Ounahi,Morocco,Midfielder,,,,
Bilal El Khannouss,Morocco,Midfielder,,,,
Brahim Diaz,Morocco,Forward,,,,
Chadi Riad,Morocco,Defender,,,,
Chemsdine Talbi,Morocco,Midfielder,,,,
Gessine Yassine,Morocco,Midfielder,,,,
Ismael Saibari,Morocco,Midfielder,,,,
Issa Diop,Morocco,Defender,,,,
Marwane Saadane,Morocco,Defender,,,,
Munir Mohamedi,Morocco,Goalkeeper,,,,
Neil El Aynaoui,Morocco,Midfielder,,,,
Noussair Mazraoui,Morocco,Defender,,,,
Redouane Halal,Morocco,Defender,,,,
Samir El Mourabet,Morocco,Midfielder,,,,
Sofyan Amrabat,Morocco,Midfielder,,,,
Soufiane Rahimi,Morocco,Forward,,,,
Yassine Bounou,Morocco,Goalkeeper,,,,
Youssef Belammari,Morocco,Defender,,,,
Zakaria El Ouahdi,Morocco,Defender,,,,
Bart Varbruggen,Netherlands,Goalkeeper,,,,
Brian Brobbey,Netherlands,Forward,,,,
Cody Gakpo,Netherlands,Midfielder,,,,
Crysensio Summerville,Netherlands,Forward,,,,
Denzel Dumfries,Netherlands,Defender,,,,
Donyell Malen,Netherlands,Forward,,,,
Frenkie de Jong,Netherlands,Midfielder,,,,
Guus Til,Netherlands,Midfielder,,,,
Jan Paul van Hecke,Netherlands,Defender,,,,
Jorrel Hato,Netherlands,Defender,,,,
Justin Kluivert,Netherlands,Midfielder,,,,
Lutsharel Geertruida,Netherlands,Defender,,,,
Mark Flekken,Netherlands,Goalkeeper,,,,
Marten de Roon,Netherlands,Midfielder,,,,
Mats Wieffer,Netherlands,Midfielder,,,,
Memphis Depay,Netherlands,Midfielder,,,,
Micky van de Ven,Netherlands,Defender,,,,
Nathan Ake,Netherlands,Defender,,,,
Noa Lang,Netherlands,Midfielder,,,,
Quinten Timber,Netherlands,Midfielder,,,,
Robin Roefs,Netherlands,Goalkeeper,,,,
Ryan Gravenberch,Netherlands,Midfielder,,,,
Teun Koopmeiners,Netherlands,Midfielder,,,,
Tijjani Reijnders,Netherlands,Midfielder,,,,
Virgil van Dijk,Netherlands,Defender,,,,
Wout Weghorst,Netherlands,Forward,,,,
Alex Paulsen,New Zealand,Goalkeeper,,,,
Alex Rufer,New Zealand,Forward,,,,
Ben Old,New Zealand,Midfielder,,,,
Ben Waine,New Zealand,Forward,,,,
Callan Elliot,New Zealand,Defender,,,,
Callum McCowatt,New Zealand,Midfielder,,,,
Chris Wood,New Zealand,Forward,,,,
Elijah Just,New Zealand,Forward,,,,
Finn Surman,New Zealand,Defender,,,,
Francis de Vries,New Zealand,Defender,,,,
Jesse Randall,New Zealand,Forward,,,,
Joe Bell,New Zealand,Midfielder,,,,
Kosta Barbarouses,New Zealand,Forward,,,,
Lachlan Bayliss,New Zealand,Midfielder,,,,
Liberato Cacace,New Zealand,Defender,,,,
Logan Rogerson,New Zealand,Forward,,,,
Marko Stamenic,New Zealand,Midfielder,,,,
Max Crocombe,New Zealand,Goalkeeper,,,,
Michael Boxall,New Zealand,Defender,,,,
Michael Woud,New Zealand,Goalkeeper,,,,
Nando Pijnaker,New Zealand,Defender,,,,
Ryan Thomas,New Zealand,Midfielder,,,,
Sarpreet Singh,New Zealand,Midfielder,,,,
Tim Payne,New Zealand,Defender,,,,
Tommy Smith,New Zealand,Defender,,,,
Tyler Bindon,New Zealand,Defender,,,,
Alexander Sorloth,Norway,Forward,,,,
Andreas Schjelderup,Norway,Midfielder,,,,
Antonio Nusa,Norway,Forward,,,,
David Wolfe,Norway,Defender,,,,
Egil Selvik,Norway,Goalkeeper,,,,
Erling Haaland,Norway,Forward,,,,
Fredrik Andre Bjorkan,Norway,Defender,,,,
Fredrik Aursnes,Norway,Midfielder,,,,
Henrik Falchener,Norway,Defender,,,,
Jens Petter Hauge,Norway,Forward,,,,
Jorgen Strand Larsen,Norway,Forward,,,,
Julian Ryersen,Norway,Defender,,,,
Kristian Thorstvedt,Norway,Midfielder,,,,
Kristoffer Ajer,Norway,Midfielder,,,,
Leo Ostigard,Norway,Defender,,,,
Marcus Pedersen,Norway,Defender,,,,
Martin Odegaard,Norway,Midfielder,,,,
Morten Thorsby,Norway,Midfielder,,,,
Orjan Nyland,Norway,Goalkeeper,,,,
Oscar Bobb,Norway,Midfielder,,,,
Patrick Berg,Norway,Midfielder,,,,
Sander Berge,Norway,Midfielder,,,,
Sander Tangvik,Norway,Goalkeeper,,,,
Sondre Langas,Norway,Defender,,,,
Thelo Aasgaard,Norway,Midfielder,,,,
Torbjorn Heggem,Norway,Defender,,,,
Adalberto Carrasquilla,Panama,Midfielder,,,,
Alberto Quintero,Panama,Midfielder,,,,
Andres Andrade,Panama,Midfielder,,,,
Anibal Godoy,Panama,Midfielder,,,,
Azarias Londono,Panama,Forward,,,,
Carlos Harvey,Panama,Midfielder,,,,
Cecilio Waterman,Panama,Forward,,,,
Cesar Blackman,Panama,Midfielder,,,,
Cesar Samudio,Panama,Goalkeeper,,,,
Cesar Yanis,Panama,Midfielder,,,,
Christian Martinez P,Panama,Midfielder,,,,
Edgar Barcenas,Panama,Midfielder,,,,
Edgardo Farina,Panama,Defender,,,,
Erick Davis,Panama,Defender,,,,
Fidel Escobar,Panama,Defender,,,,
Ismael Diaz,Panama,Forward,,,,
Jiovany Ramos,Panama,Defender,,,,
Jorge Gutierrez,Panama,Defender,,,,
Jose Cordoba,Panama,Midfielder,,,,
Jose Fajardo,Panama,Forward,,,,
Jose Luis Rodriguez,Panama,Midfielder,,,,
Luis Mejia,Panama,Goalkeeper,,,,
Michael Amir Murillo,Panama,Defender,,,,
Orlando Mosquera,Panama,Goalkeeper,,,,
Roderick Miller,Panama,Defender,,,,
Rolando Blackburn,Panama,Forward,,,,
Tomas Rodriguez,Panama,Forward,,,,
Adrian Cubas,Paraguay,Midfielder,,,,
Alejandro Romero,Paraguay,Midfielder,,,,
Alex Arce,Paraguay,Forward,,,,
Alexandro Maidana,Paraguay,Defender,,,,
Antonio Sanabria,Paraguay,Forward,,,,
Braian Ojeda,Paraguay,Midfielder,,,,
Damian Bobadilla,Paraguay,Midfielder,,,,
Diego Gomez,Paraguay,Midfielder,,,,
Fabian Balbuena,Paraguay,Midfielder,,,,
Gabriel Avalos,Paraguay,Forward,,,,
Gaston Oliveira,Paraguay,Goalkeeper,,,,
Gustavo Caballero,Paraguay,Midfielder,,,,
Gustavo Gomez,Paraguay,Defender,,,,
Gustavo Velazquez,Paraguay,Defender,,,,
Isidro Pitta,Paraguay,Forward,,,,
Jose Canale,Paraguay,Defender,,,,
Juan Jose Caceres,Paraguay,Defender,,,,
Julio Enciso,Paraguay,Forward,,,,
Junior Alonso,Paraguay,Defender,,,,
Matias Galarza,Paraguay,Midfielder,,,,
Mauricio,Paraguay,Midfielder,,,,
Miguel Almiron,Paraguay,Midfielder,,,,
Omar Alderete,Paraguay,Defender,,,,
Orlando Gill,Paraguay,Goalkeeper,,,,
Ramon Sosa,Paraguay,Forward,,,,
Roberto Junior Fernandez,Paraguay,Goalkeeper,,,,
Bernardo Silva,Portugal,Midfielder,,,,
Bruno Fernandes,Portugal,Midfielder,,,,
Cristiano Ronaldo,Portugal,Forward,,,,
Diogo Costa,Portugal,Goalkeeper,,,,
Diogo Dalot,Portugal,Defender,,,,
Francisco Conceicao,Portugal,Midfielder,,,,
Francisco Trincao,Portugal,Forward,,,,
Goncalo Guedes,Portugal,Forward,,,,
Goncalo Inacio,Portugal,Defender,,,,
Goncalo Ramos,Portugal,Midfielder,,,,
Joao Cancelo,Portugal,Defender,,,,
Joao Felix,Portugal,Forward,,,,
Joao Neves,Portugal,Midfielder,,,,
Jose Sa,Portugal,Goalkeeper,,,,
Matheus Nunes,Portugal,Midfielder,,,,
Nelson Semedo,Portugal,Defender,,,,
Nuno Mendes,Portugal,Defender,,,,
Pedro Neto,Portugal,Forward,,,,
Rafael Leao,Portugal,Forward,,,,
Renato Veiga,Portugal,Midfielder,,,,
Ruben Dias,Portugal,Defender,,,,
Ruben Neves,Portugal,Midfielder,,,,
Rui Silva,Portugal,Goalkeeper,,,,
Samu Costa,Portugal,Midfielder,,,,
Tomas Lemos Araujo,Portugal,Defender,,,,
Vitinha,Portugal,Midfielder,,,,
Abdulaziz Hatem,Qatar,Midfielder,,,,
Ahmed Al-Ganehi,Qatar,Forward,,,,
Ahmed Alaaeldin,Qatar,Forward,,,,
Ahmed Fatehi,Qatar,Midfielder,,,,
Akram Afif,Qatar,Forward,,,,
Al-Hashmi Al-Hussain,Qatar,Defender,,,,
Almoez Ali,Qatar,Forward,,,,
Assim Madibo,Qatar,Midfielder,,,,
Ayoub Al-Oui,Qatar,Defender,,,,
Boualem Khoukhi,Qatar,Midfielder,,,,
Edmilson Junior,Qatar,Midfielder,,,,
Hassan Al Haidos,Qatar,Forward,,,,
Homan Ahmed,Qatar,Defender,,,,
Issa Laye,Qatar,Defender,,,,
Jassem Gaber,Qatar,Defender,,,,
Karim Boudiaf,Qatar,Midfielder,,,,
Lucas Mendes,Qatar,Defender,,,,
Mahmud Abunada,Qatar,Goalkeeper,,,,
Meshaal Barsham,Qatar,Goalkeeper,,,,
Mohamed Manai,Qatar,Midfielder,,,,
Mohammed Muntari,Qatar,Forward,,,,
Ro-Ro,Qatar,Defender,,,,
Salah Zakaria,Qatar,Goalkeeper,,,,
Sultan Al-Brake,Qatar,Defender,,,,
Tahsin Jamshid,Qatar,Forward,,,,
Yusuf Abdurisag,Qatar,Forward,,,,
Abdulelah Al-Amri,Saudi Arabia,Defender,,,,
Abdullah Al-Hamdan,Saudi Arabia,Forward,,,,
Abdullah Al-Khaibari,Saudi Arabia,Midfielder,,,,
Ahmed Al-Kassar,Saudi Arabia,Goalkeeper,,,,
Alaa Al-Hejji,Saudi Arabia,Midfielder,,,,
Ali Lajami,Saudi Arabia,Defender,,,,
Ali Majrashi,Saudi Arabia,Defender,,,,
Ayman Yahya,Saudi Arabia,Midfielder,,,,
Firas Al-Buraikan,Saudi Arabia,Forward,,,,
Hassan Al-Tambakti,Saudi Arabia,Defender,,,,
Hassan Kadesh,Saudi Arabia,Defender,,,,
Jehad Thakri,Saudi Arabia,Defender,,,,
Khalid Al-Ghannam,Saudi Arabia,Forward,,,,
Mohamed Kanno,Saudi Arabia,Midfielder,,,,
Mohammed Abu Al-Shamat,Saudi Arabia,Defender,,,,
Mohammed Al-Owais,Saudi Arabia,Goalkeeper,,,,
Moteb Al-Harbi,Saudi Arabia,Defender,,,,
Musab Al-Juwayr,Saudi Arabia,Defender,,,,
Nasser Al-Dawsari,Saudi Arabia,Midfielder,,,,
Nawaf Al-Aqidi,Saudi Arabia,Goalkeeper,,,,
Nawaf Boushal,Saudi Arabia,Defender,,,,
Saleh Al-Shehri,Saudi Arabia,Forward,,,,
Salem Al-Dawsari,Saudi Arabia,Midfielder,,,,
Saud Abdulhamid,Saudi Arabia,Defender,,,,
Sultan Mandash,Saudi Arabia,Midfielder,,,,
Ziyad Al-Johani,Saudi Arabia,Midfielder,,,,
Aaron Hickey,Scotland,Defender,,,,
Andrew Robertson,Scotland,Defender,,,,
Angus Gunn,Scotland,Goalkeeper,,,,
Ben Doak,Scotland,Midfielder,,,,
Che Adams,Scotland,Forward,,,,
Craig Gordon,Scotland,Goalkeeper,,,,
Dominic Hyam,Scotland,Defender,,,,
Findlay Curtis,Scotland,Midfielder,,,,
George Hirst,Scotland,Forward,,,,
Grant Hanley,Scotland,Defender,,,,
Jack Hendry,Scotland,Defender,,,,
John McGinn,Scotland,Midfielder,,,,
John Souttar,Scotland,Midfielder,,,,
Kenny McLean,Scotland,Midfielder,,,,
Kieran Tierney,Scotland,Defender,,,,
Lawrence Shankland,Scotland,Forward,,,,
Lewis Ferguson,Scotland,Midfielder,,,,
Liam Kelly,Scotland,Goalkeeper,,,,
Lyndon Dykes,Scotland,Forward,,,,
Nathan Patterson,Scotland,Defender,,,,
Ross Stewart,Scotland,Forward,,,,
Ryan Christie,Scotland,Midfielder,,,,
Scott McKenna,Scotland,Defender,,,,
Scott McTominay,Scotland,Midfielder,,,,
Tony Ralston,Scotland,Defender,,,,
Tyler Fletcher,Scotland,Midfielder,,,,
Abdoulaye Seck,Senegal,Defender,,,,
Antoine Mendy,Senegal,Defender,,,,
Assane Diao,Senegal,Forward,,,,
Bamba Dieng,Senegal,Forward,,,,
Bara Sapoko Ndiaye,Senegal,Midfielder,,,,
Cheick N'Diaye,Senegal,Goalkeeper,,,,
Cherif Ndiaye,Senegal,Forward,,,,
Edouard Mendy,Senegal,Goalkeeper,,,,
El Hadji Malick Diouf,Senegal,Defender,,,,
Habib Diallo,Senegal,Forward,,,,
Habib Diarra,Senegal,Midfielder,,,,
Ibrahim Mbaye,Senegal,Forward,,,,
Ibrahima M'Baye,Senegal,Defender,,,,
Idrissa Gueye,Senegal,Midfielder,,,,
Iliman Ndiaye,Senegal,Forward,,,,
Ismail Jakobs,Senegal,Midfielder,,,,
Ismaila Sarr,Senegal,Midfielder,,,,
Kalidou Koulibaly,Senegal,Defender,,,,
Krepin Diatta,Senegal,Midfielder,,,,
Lamine Camara,Senegal,Midfielder,,,,
Mamadou Sarr,Senegal,Defender,,,,
Mory Diaw,Senegal,Goalkeeper,,,,
Moussa Niakhate,Senegal,Defender,,,,
Nicolas Jackson,Senegal,Midfielder,,,,
Pape Gueye,Senegal,Midfielder,,,,
Pape Matar Sarr,Senegal,Midfielder,,,,
Pathe Ciss,Senegal,Defender,,,,
Sadio Mane,Senegal,Forward,,,,
Yehvann Diouf,Senegal,Goalkeeper,,,,
Aubrey Modiba,South Africa,Defender,,,,
Bradley Cross,South Africa,Defender,,,,
Evidence Makgopa,South Africa,Forward,,,,
Ime Okon,South Africa,Defender,,,,
Iqraam Rayners,South Africa,Midfielder,,,,
Jayden Adams,South Africa,Midfielder,,,,
Kamogelo Sebelebele,South Africa,Midfielder,,,,
Khuliso Mudau,South Africa,Defender,,,,
Khulumani Ndamane,South Africa,Defender,,,,
Lyle Foster,South Africa,Forward,,,,
Mbekezeli Mbokazi,South Africa,Defender,,,,
Nkosinathi Sibisi,South Africa,Defender,,,,
Olwethu Makhanya,South Africa,Defender,,,,
Oswin Appollis,South Africa,Midfielder,,,,
Relebohile Mokokeng,South Africa,Midfielder,,,,
Ricardo Goss,South Africa,Goalkeeper,,,,
Ronwen Williams,South Africa,Goalkeeper,,,,
Samuele Kabini,South Africa,Defender,,,,
Sipho Chaine,South Africa,Goalkeeper,,,,
Teboho Mokoena,South Africa,Midfielder,,,,
Thabang Matuludi,South Africa,Defender,,,,
Thalente Mbatha,South Africa,Midfielder,,,,
Thapelo Maseko,South Africa,Midfielder,,,,
Themba Zwane,South Africa,Midfielder,,,,
Tshepamg Moremi,South Africa,Midfielder,,,,
Yaya Sithole,South Africa,Midfielder,,,,
Bum-Keun Song,South Korea,Goalkeeper,,,,
Cho Wi-je,South Korea,Defender,,,,
Dong-gyeong Lee,South Korea,Midfielder,,,,
Gue-Sung Cho,South Korea,Forward,,,,
Han-Beom Lee,South Korea,Defender,,,,
Hee-Chan Hwang,South Korea,Forward,,,,
Heung Min Son,South Korea,Forward,,,,
Hyeon-gyu Oh,South Korea,Forward,,,,
Hyeon-woo Jo,South Korea,Goalkeeper,,,,
Hyun-Jun Yang,South Korea,Midfielder,,,,
In-Beom Hwang,South Korea,Midfielder,,,,
Jae-Sung Lee,South Korea,Midfielder,,,,
Jens Castrop,South Korea,Defender,,,,
Ji-Sung Eom,South Korea,Midfielder,,,,
Jun-Ho Bae,South Korea,Midfielder,,,,
Kang-In Lee,South Korea,Midfielder,,,,
Kim Jin-gyu,South Korea,Midfielder,,,,
Kim Tae-hyeon,South Korea,Defender,,,,
Lee Gi-hyuk,South Korea,Defender,,,,
Lee Tae-seok,South Korea,Defender,,,,
Min-Jae Kim,South Korea,Defender,,,,
Moon-Hwan Kim,South Korea,Defender,,,,
Park Jin-seob,South Korea,Defender,,,,
Seol Young-Woo,South Korea,Defender,,,,
Seung-Gyu Kim,South Korea,Goalkeeper,,,,
Seung-Ho Paik,South Korea,Midfielder,,,,
Tae-Hwan Kim,South Korea,Midfielder,,,,
Alex Baena,Spain,Midfielder,,,,
Alex Grimaldo,Spain,Defender,,,,
Aymeric Laporte,Spain,Defender,,,,
Borja Iglesias,Spain,Defender,,,,
Dani Olmo,Spain,Forward,,,,
David Raya,Spain,Goalkeeper,,,,
Eric Garcia,Spain,Defender,,,,
Fabian,Spain,Midfielder,,,,
Ferran Torres,Spain,Midfielder,,,,
Gavi,Spain,Midfielder,,,,
Joan Garcia,Spain,Goalkeeper,,,,
Lamine Yamal,Spain,Forward,,,,
Marc Cucurella,Spain,Defender,,,,
Marc Pubill,Spain,Defender,,,,
Marcos Llorente,Spain,Midfielder,,,,
Martin Zubimendi,Spain,Midfielder,,,,
Mikel Merino,Spain,Midfielder,,,,
Mikel Oyarzabal,Spain,Midfielder,,,,
Nico Williams,Spain,Forward,,,,
Pau Cubarsi,Spain,Defender,,,,
Pedri,Spain,Midfielder,,,,
Pedro Porro,Spain,Defender,,,,
Rodri Hernandez,Spain,Midfielder,,,,
Unai Simon,Spain,Goalkeeper,,,,
Victor Munoz,Spain,Forward,,,,
Yeremi Pino,Spain,Forward,,,,
Albin Ekdal,Sweden,Midfielder,,,,
Alexander Bernhardsson,Sweden,Midfielder,,,,
Alexander Isak,Sweden,Forward,,,,
Anthony Elanga,Sweden,Forward,,,,
Benjamin Nygren,Sweden,Midfielder,,,,
Besfort Zeneli,Sweden,Midfielder,,,,
Carl Starfelt,Sweden,Defender,,,,
Daniel Svensson,Sweden,Defender,,,,
Elliot Stroud,Sweden,Defender,,,,
Eric Anders Smith,Sweden,Defender,,,,
Gabriel Gudmundsson,Sweden,Defender,,,,
Gustaf Nilsson,Sweden,Forward,,,,
Gustav Lagerbielke,Sweden,Midfielder,,,,
Herman Johansson,Sweden,Defender,,,,
Hjalmar Ekdal,Sweden,Defender,,,,
Isak Hien,Sweden,Defender,,,,
Jacob Widell Zetterstrom,Sweden,Goalkeeper,,,,
Jesper Karlstrom,Sweden,Midfielder,,,,
Ken Sema,Sweden,Midfielder,,,,
Kristoffer Nordfeldt,Sweden,Goalkeeper,,,,
Lucas Bergvall,Sweden,Midfielder,,,,
Mattias Svanberg,Sweden,Midfielder,,,,
Taha Abdi Ali,Sweden,Forward,,,,
Victor Lindelof,Sweden,Defender,,,,
Viktor Gyokeres,Sweden,Forward,,,,
Viktor Johansson,Sweden,Goalkeeper,,,,
Yasin Ayari,Sweden,Midfielder,,,,
Ardon Jasari,Switzerland,Midfielder,,,,
Aurele Amenda,Switzerland,Defender,,,,
Breel Embolo,Switzerland,Forward,,,,
Cedric Itten,Switzerland,Forward,,,,
Christian Fassnacht,Switzerland,Forward,,,,
Dan Ndoye,Switzerland,Forward,,,,
Denis Zakaria,Switzerland,Midfielder,,,,
Djibril Sow,Switzerland,Midfielder,,,,
Eray Comert,Switzerland,Defender,,,,
Fabian Rieder,Switzerland,Midfielder,,,,
Granit Xhaka,Switzerland,Midfielder,,,,
Gregor Kobel,Switzerland,Goalkeeper,,,,
Johan Manzambi,Switzerland,Midfielder,,,,
Luca Jaquez,Switzerland,Defender,,,,
Manuel Akanji,Switzerland,Defender,,,,
Marvin Keller,Switzerland,Goalkeeper,,,,
Michel Aebischer,Switzerland,Midfielder,,,,
Miro Muheim,Switzerland,Defender,,,,
Nico Elvedi,Switzerland,Defender,,,,
Noah Okafor,Switzerland,Midfielder,,,,
Remo Freuler,Switzerland,Midfielder,,,,
Ricardo Rodriguez,Switzerland,Defender,,,,
Ruben Vargas,Switzerland,Forward,,,,
Silvan Widmer,Switzerland,Defender,,,,
Yvon Mvogo,Switzerland,Goalkeeper,,,,
Zeki Amdouni,Switzerland,Forward,,,,
Adem Arous,Tunisia,Defender,,,,
Ali Abdi,Tunisia,Defender,,,,
Anis Ben Hatira,Tunisia,Midfielder,,,,
Anis Slimane,Tunisia,Midfielder,,,,
Aymen Dahmen,Tunisia,Goalkeeper,,,,
Dylan Bronn,Tunisia,Defender,,,,
Elias Saad,Tunisia,Forward,,,,
Ellyes Skhiri,Tunisia,Midfielder,,,,
Firas Chaouat,Tunisia,Forward,,,,
Hadj Mahmoud,Tunisia,Midfielder,,,,
Hannibal Mejbri,Tunisia,Midfielder,,,,
Hazem Mastouri,Tunisia,Forward,,,,
Ismael Gharbi,Tunisia,Midfielder,,,,
Khalil Ayari,Tunisia,Forward,,,,
Mohamed Amine Ben Hamida,Tunisia,Defender,,,,
Mohamed Elias Achouri,Tunisia,Forward,,,,
Montassar Talbi,Tunisia,Defender,,,,
Mortsdha Ben Ouanes,Tunisia,Defender,,,,
Moulib Chamakh,Tunisia,Goalkeeper,,,,
Moutaz Neffati,Tunisia,Defender,,,,
Omar Rekik,Tunisia,Midfielder,,,,
Raed Chikhaoui,Tunisia,Defender,,,,
Rani Khedira,Tunisia,Midfielder,,,,
Rayan Elloumi,Tunisia,Forward,,,,
Sabri Ben Hessen,Tunisia,Goalkeeper,,,,
Sebastian Tounekti,Tunisia,Forward,,,,
Yan Valery,Tunisia,Defender,,,,
Yassine Chikhaoui,Tunisia,Forward,,,,
Abdulkerim Bardakci,Türkiye,Defender,,,,
Altay Bayindir,Türkiye,Goalkeeper,,,,
Arda Guler,Türkiye,Midfielder,,,,
Baris Alper Yilmaz,Türkiye,Forward,,,,
Caglar Soyuncu,Türkiye,Defender,,,,
Can Uzun,Türkiye,Midfielder,,,,
Deniz Gul,Türkiye,Forward,,,,
Eren Elmali,Türkiye,Defender,,,,
Fehmi Mert Gunok,Türkiye,Goalkeeper,,,,
